date,predicted_value
2018-01-31,206653.42910267093
2018-02-28,206206.02676513637
2018-03-28,206573.28710355976
2018-04-28,206126.65038436753
2018-05-28,206484.22164345227
2018-06-28,206036.9673584872
2018-07-28,206391.62218800432
2018-08-28,205942.2272385403
2018-09-28,206291.19209145944
2018-10-28,205843.7284247221
2018-11-28,206191.61687208837
2018-12-28,205749.9563807557
