model,fold,RMSE,MAE,R2
Linear+Imputer+Scaler (CV),1,1132.3868772543663,729.9680978916441,0.9997274158239563
Linear+Imputer+Scaler (CV),2,1072.8199242449539,725.5941014796756,0.9998254494006742
Linear+Imputer+Scaler (CV),3,1136.7231502126526,750.1675985764616,0.9998656615386381
RF-small (CV),1,1366.9719376236847,842.4033123347839,0.9996027808450351
RF-small (CV),2,4129.035810960646,999.438071551925,0.9974143783104377
RF-small (CV),3,6960.290169937597,1066.9001886341728,0.994963305018835
