model,RMSE,MAE,R2
Linear+Imputer+Scaler,1152.136482064848,740.3302722699232,0.9998655035842641
RandomForest,4709.71022791328,952.0149315068493,0.997752543844263
LightGBM,9882.368947296016,1790.6733104090101,0.9901047907845387
